"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000185904",174.028754709468,-2.47299214970929,0.846287431808232,-2.92216575215508,0.0034760649749234,0.356755159297507
"ENSG00000267605",26.0729257867677,2.47365254876866,0.845512196202977,2.92562609963207,0.00343763825646172,0.356755159297507
"ENSG00000134107",395.121019164922,1.46435408408087,0.503040713864126,2.91100510102329,0.00360268135799635,0.359910701327531
"ENSG00000173705",218.75818449087,-2.68285211823479,0.922029933278878,-2.90972344975196,0.00361748693052546,0.359910701327531
"ENSG00000111911",371.228614736382,-1.08396147445358,0.372182986342623,-2.91244230453809,0.0035861444235414,0.359910701327531
"ENSG00000171056",9.78006035900745,-2.80423003587731,0.964270439191032,-2.90813647489795,0.00363589625945082,0.359910701327531
"ENSG00000122756",186.207300501338,1.67187882787622,0.573213137295178,2.91667918806837,0.00353779446605181,0.359910701327531
"ENSG00000140368",44.3782877902295,-2.7346733078097,0.938621851081216,-2.91349844951892,0.00357403611911025,0.359910701327531
"ENSG00000272154",16.3437741765377,3.22735802455436,1.11101341648384,2.90487763394287,0.00367396704445508,0.361539968745229
"ENSG00000117139",641.066069215753,0.854857147364702,0.294573693972658,2.90201455478251,0.00370771313341047,0.362727093618853
"ENSG00000213676",999.787791817295,1.59032914749748,0.550954677331252,2.88649722550831,0.00389556181842216,0.369426413008575
"ENSG00000129675",118.005331366438,-1.61147879314865,0.557401307892964,-2.89105671323271,0.00383948825981624,0.369426413008575
"ENSG00000235903",10.6521411179446,-2.7701202601869,0.959311093835026,-2.88761412016286,0.0038817576406542,0.369426413008575
"ENSG00000244471",38.7149416300839,-2.46914076384876,0.854780460451694,-2.88862565078287,0.00386929406239384,0.369426413008575
"ENSG00000215421",252.912339619123,1.11652043350641,0.386950021443914,2.88543835542401,0.00390869000553039,0.369426413008575
"ENSG00000277112",82.3526762055311,1.79072868683002,0.61990077498769,2.88873438957321,0.00386795640334366,0.369426413008575
"ENSG00000279208",196.426796547748,1.72563051575984,0.598516986782972,2.88317717603155,0.00393685940811429,0.369998432799685
"ENSG00000160323",274.78725771702,1.82764244372802,0.637186878934855,2.86829893105014,0.00412685414650396,0.380488873809004
"ENSG00000133687",518.053323983601,-2.48462034325891,0.866526260285849,-2.86733415608119,0.00413945693306466,0.380488873809004
"ENSG00000257261",95.7671543981671,1.21128360083752,0.421695856871395,2.87241048518749,0.00407353465051758,0.380488873809004
"ENSG00000101439",2953.23964433084,-1.62244127934166,0.565305797251632,-2.87002413070863,0.00410440475148474,0.380488873809004
"ENSG00000174348",13.4984591723284,3.205976370465,1.12078177356401,2.86048225094722,0.00422997230129345,0.382503819612638
"ENSG00000165757",46.1984878488315,-1.36400026293969,0.4765245015591,-2.86239271742992,0.00420455575920147,0.382503819612638
"ENSG00000105281",224.073156819508,1.53553459116724,0.536654871187361,2.86130746893219,0.00421897668442337,0.382503819612638
"ENSG00000168243",55.9092773191892,1.69154215633667,0.592275462214803,2.85600580177876,0.00429007294735128,0.385852851270105
"ENSG00000013016",110.001489280112,-1.73025877779141,0.606367376016916,-2.85348263482951,0.00432428911892339,0.386850442088071
"ENSG00000248583",96.2543962452691,1.66410244702929,0.585466045955856,2.84235517759601,0.00447815714189686,0.394682583231963
"ENSG00000064652",147.887762649788,-1.07985396408327,0.37985473346748,-2.84280770763573,0.00447180413501274,0.394682583231963
"ENSG00000204713",1663.73611451692,1.00216733404022,0.354467052006998,2.82725101914531,0.00469495092732146,0.394682583231963
"ENSG00000204388",154.885084595702,1.27564989708398,0.45071800460864,2.83026168034187,0.00465099466730752,0.394682583231963
"ENSG00000083099",332.208677122751,-1.097079308307,0.3879395910104,-2.82796428549512,0.00468450323429818,0.394682583231963
"ENSG00000135587",139.811417319167,-1.48529355573503,0.524064077250015,-2.83418310892246,0.00459429986139053,0.394682583231963
"ENSG00000157514",277.721908660661,-2.45076224213175,0.865723408157258,-2.83088365064349,0.00464196035056235,0.394682583231963
"ENSG00000182632",29.2463132113831,-4.12913738874362,1.45654906841211,-2.83487695560101,0.00458433385891358,0.394682583231963
"ENSG00000148541",39.6095323858385,2.99292383915426,1.05725125741934,2.83085389414408,0.00464239221101038,0.394682583231963
"ENSG00000140280",116.634989534082,-1.10736245180473,0.390643756307943,-2.83471176467952,0.00458670478593783,0.394682583231963
"ENSG00000263618",27.140929652494,-3.46407197251478,1.22365349965996,-2.83092556305964,0.00464135213121145,0.394682583231963
"ENSG00000100379",35.5501307587895,-1.9792959576629,0.698827293845411,-2.83231060820693,0.00462129335584207,0.394682583231963
"ENSG00000143786",316.666812166007,0.955321529847416,0.338595038514362,2.82142802221508,0.00478103651310527,0.395779760999776
"ENSG00000114948",368.876202740297,-2.44983970436374,0.868281167501014,-2.8214820222516,0.00478023167235773,0.395779760999776
"ENSG00000237268",9.45218583887025,3.52608892092706,1.25039416172146,2.8199819136012,0.00480263563171466,0.395779760999776
"ENSG00000280294",15.4982043033592,-3.17364760417391,1.12449784496959,-2.82227984550716,0.00476835483671758,0.395779760999776
